PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO
1,CALABRIA,01/A155/CZ/18,Catanzaro,Albi,Villaggio Buturo - Centro Visite,39° 04' 24.07'',16° 38' 11.89'',1558,no,Fagus sylvatica L.,Faggio,460,27.0,a) eta` e/o dimensioni,no
2,CALABRIA,04/A155/CZ/18,Catanzaro,Albi,Villaggio Buturo - Centro Visite,39° 04' 21.4'',16° 38' 18.49'',1533,no,Fagus sylvatica L.,Faggio,470,36.0,a) eta` e/o dimensioni,no
3,CALABRIA,06/A155/CZ/18,Catanzaro,Albi,Villaggio Buturo - Casa Giulia,39° 04' 06.96'',16° 38' 24.72'',1552,no,Abies alba Mill.,Abete bianco,410,34.0,a) eta` e/o dimensioni,no
4,CALABRIA,01/A736/CZ/18,Catanzaro,Belcastro,Centro Storico - Piazza Margherita,39° 1' 3.3'',16° 47' 2.26'',496,si`,Celtis australis L.,Bagolaro,290,16.0,"a) eta` e/o dimensioni
c) valore ecologico",si`
5,CALABRIA,01/C542/CZ/18,Catanzaro,Cerva,Melitani,39° 02' 27.11'',16° 43' 22.28'',1200,no,Castanea sativa Mill.,Castagno,930,27.0,"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
e) architettura vegetale
f) pregio paesaggistico
g) valore storico. culturale. religioso",si`
6,CALABRIA,01/D218/CZ/18,Catanzaro,Curinga,Sant'Elia - Vrisi,38° 49' 23.07'',16° 19' 57.07'',460,no,Platanus orientalis L.,Platano orientale,1200,21.0,"a) eta` e/o dimensioni
c) valore ecologico
d) rarita` botanica",no
7,CALABRIA,01/F586/CZ/18,Catanzaro,Montepaone,Piazza Immacolata,38° 43' 23.57'',16° 29' 49.36'',356,si`,Ulmus minor Mill.,Olmo campestre,320,10.0,"a) eta` e/o dimensioni
g) valore storico. culturale. religioso",no
8,CALABRIA,01/H976/CZ/18,Catanzaro,San Mango D'Aquino,Piazza della Pace,39° 3' 32.2'',16° 11' 26.31'',470,si`,Ulmus glabra Huds.,Olmo montano,440,17.0,"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico",si`
9,CALABRIA,01/I844/CZ/18,Catanzaro,Sorbo San Basile,Colle Sant'Elia,39° 1' 56.15'',16° 29' 24.74'',840,no,Castanea sativa Mill.,Castagno,840,19.0,a) eta` e/o dimensioni,no
10,CALABRIA,01/L070/CZ/18,Catanzaro,Taverna,Frainella - Colle del Telegrafo,39° 05' 42'',16° 36' 57.96'',1542,no,Abies alba Mill.,Abete bianco,600,40.0,a) eta` e/o dimensioni,no
